contract_item	kind	profile	owners	owners_count	mapping_details	suggested_status	covered_candidates	any_enforcement_point	any_proof	notes
AT-330	AT	CSP	S14-000	1	S14-000:enforcing_contract_ats	CLAIMED		1	1	
AT-331	AT	GOP	S14-000	1	S14-000:enforcing_contract_ats	CLAIMED		1	1	
AT-332	AT	GOP	S14-000	1	S14-000:enforcing_contract_ats	CLAIMED		1	1	
AT-333	AT	CSP	S1-002,S1-011	2	S1-002:contract_refs|enforcing_contract_ats;S1-011:contract_refs|enforcing_contract_ats	COVERED	S1-002,S1-011	1	1	
AT-334	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-335	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-336	AT	CSP	S8-011	1	S8-011:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-337	AT	CSP	S13-006,S8-012	2	S13-006:enforcing_contract_ats;S8-012:contract_refs|enforcing_contract_ats	AMBIGUOUS		1	1	
AT-338	AT	CSP	S7-002	1	S7-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-339	AT	CSP	S7-002	1	S7-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-340	AT	CSP	S7-002	1	S7-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-341	AT	CSP	S1-010	1	S1-010:contract_refs|enforcing_contract_ats	COVERED	S1-010	1	1	
AT-342	AT	CSP	S8-014	1	S8-014:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-343	AT	CSP	S2-001,S6-001	2	S2-001:contract_refs|enforcing_contract_ats;S6-001:enforcing_contract_ats	COVERED	S2-001,S6-001	1	1	
AT-344	AT	CSP	S5-000,S6-012	2	S5-000:contract_refs|enforcing_contract_ats;S6-012:enforcing_contract_ats	AMBIGUOUS	S5-000,S6-012	1	1	
AT-345	AT	CSP	S8-003	1	S8-003:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-346	AT	CSP	S7-002	1	S7-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-347	AT	CSP	S7-002	1	S7-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-348	AT	CSP	S8-001	1	S8-001:enforcing_contract_ats	CLAIMED		1	1	
AT-349	AT	CSP	S8-001	1	S8-001:enforcing_contract_ats	CLAIMED		1	1	
AT-350	AT	CSP	S8-001	1	S8-001:enforcing_contract_ats	CLAIMED		1	1	
AT-351	AT	CSP	S8-014	1	S8-014:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-352	AT	CSP	S8-014	1	S8-014:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-353	AT	CSP	S8-014	1	S8-014:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-401	AT	CSP	S8-005	1	S8-005:enforcing_contract_ats	CLAIMED		1	1	
AT-402	AT	CSP	S9-003	1	S9-003:enforcing_contract_ats	CLAIMED		1	1	
AT-403	AT	CSP	S8-014	1	S8-014:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-404	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-405	AT	CSP	S8-013	1	S8-013:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-406	AT	CSP	S8-014	1	S8-014:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-407	AT	CSP	S8-014	1	S8-014:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-408	AT	CSP	S9-002	1	S9-002:enforcing_contract_ats	CLAIMED		1	1	
AT-409	AT	CSP	S9-003	1	S9-003:enforcing_contract_ats	CLAIMED		1	1	
AT-410	AT	CSP	S8-011	1	S8-011:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-411	AT	CSP	S9-003	1	S9-003:enforcing_contract_ats	CLAIMED		1	1	
AT-412	AT	CSP	S8-013	1	S8-013:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-413	AT	CSP	S8-001	1	S8-001:enforcing_contract_ats	CLAIMED		1	1	
AT-414	AT	GOP	S10-002	1	S10-002:enforcing_contract_ats	CLAIMED		1	1	
AT-415	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-416	AT	CSP	S13-006,S8-012	2	S13-006:enforcing_contract_ats;S8-012:contract_refs|enforcing_contract_ats	AMBIGUOUS		1	1	
AT-417	AT	CSP	S8-010	1	S8-010:enforcing_contract_ats	CLAIMED		1	1	
AT-418	AT	CSP	S8-004	1	S8-004:enforcing_contract_ats	CLAIMED		1	1	
AT-419	AT	CSP	S8-013	1	S8-013:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-420	AT	CSP	S8-004	1	S8-004:enforcing_contract_ats	CLAIMED		1	1	
AT-421	AT	CSP	S5-000,S6-012	2	S5-000:contract_refs|enforcing_contract_ats;S6-012:enforcing_contract_ats	AMBIGUOUS	S5-000,S6-012	1	1	
AT-422	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-423	AT	CSP	S8-011	1	S8-011:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-424	AT	CSP	S1-010	1	S1-010:enforcing_contract_ats	COVERED	S1-010	1	1	
AT-430	AT	CSP	S9-003	1	S9-003:enforcing_contract_ats	CLAIMED		1	1	
AT-431	AT	CSP	S13-000	1	S13-000:enforcing_contract_ats	CLAIMED		1	1	
AT-432	AT	CSP	S13-000	1	S13-000:enforcing_contract_ats	CLAIMED		1	1	
AT-433	AT	GOP	S13-002	1	S13-002:enforcing_contract_ats	CLAIMED		1	1	
AT-434	AT	GOP	S13-002	1	S13-002:enforcing_contract_ats	CLAIMED		1	1	
AT-435	AT	GOP	S13-002	1	S13-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-436	AT	GOP	S13-002	1	S13-002:enforcing_contract_ats	CLAIMED		1	1	
AT-901	AT	CSP	S1-001	1	S1-001:enforcing_contract_ats	COVERED	S1-001	1	1	
AT-902	AT	GOP	S13-003,S6-003	2	S13-003:enforcing_contract_ats;S6-003:enforcing_contract_ats	COVERED	S6-003	1	1	
AT-903	AT	GOP	S13-003	1	S13-003:enforcing_contract_ats	CLAIMED		1	1	
AT-904	AT	GOP	S13-003	1	S13-003:enforcing_contract_ats	CLAIMED		1	1	
AT-905	AT	CSP	S1-001	1	S1-001:contract_refs|enforcing_contract_ats	COVERED	S1-001	1	1	
AT-906	AT	CSP	S4-000,S4-003,S6-000,S6-006	4	S4-000:contract_refs|enforcing_contract_ats;S4-003:contract_refs|enforcing_contract_ats;S6-000:enforcing_contract_ats;S6-006:enforcing_contract_ats	COVERED	S4-000,S4-003,S6-000,S6-006	1	1	
AT-907	AT	CSP	S8-013	1	S8-013:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-908	AT	CSP	S2-000	1	S2-000:enforcing_contract_ats	COVERED	S2-000	1	1	
AT-909	AT	CSP	S5-000,S6-012	2	S5-000:contract_refs|enforcing_contract_ats;S6-012:enforcing_contract_ats	AMBIGUOUS	S5-000,S6-012	1	1	
AT-910	AT	CSP	S6-008	1	S6-008:enforcing_contract_ats	COVERED	S6-008	1	1	
AT-911	AT	CSP	S6-009	1	S6-009:enforcing_contract_ats	COVERED	S6-009	1	1	
AT-912	AT	CSP	S6-010	1	S6-010:enforcing_contract_ats	COVERED	S6-010	1	1	
AT-913	AT	CSP	S3-000	1	S3-000:contract_refs|enforcing_contract_ats	COVERED	S3-000	1	1	
AT-914	AT	CSP	S3-000	1	S3-000:contract_refs|enforcing_contract_ats	COVERED	S3-000	1	1	
AT-915	AT	CSP	S3-000,S3-002	2	S3-000:contract_refs|enforcing_contract_ats;S3-002:contract_refs|enforcing_contract_ats	COVERED	S3-000,S3-002	1	1	
AT-916	AT	CSP	S3-001	1	S3-001:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	COVERED	S3-001	1	1	
AT-917	AT	GOP	S9-003	1	S9-003:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-918	AT	CSP	S13-006,S8-012	2	S13-006:enforcing_contract_ats;S8-012:contract_refs|enforcing_contract_ats	AMBIGUOUS		1	1	
AT-919	AT	CSP	S9-001	1	S9-001:enforcing_contract_ats	CLAIMED		1	1	
AT-920	AT	CSP	S1-007,S1-008,S1-009	3	S1-007:contract_refs|enforcing_contract_ats;S1-008:enforcing_contract_ats;S1-009:enforcing_contract_ats	COVERED	S1-007	1	1	
AT-921	AT	CSP	S2-002	1	S2-002:contract_refs|enforcing_contract_ats	COVERED	S2-002	1	1	
AT-922	AT	CSP	S6-007	1	S6-007:enforcing_contract_ats	COVERED	S6-007	1	1	
AT-923	AT	GOP	S8-002	1	S8-002:enforcing_contract_ats	CLAIMED		1	1	
AT-924	AT	CSP	S7-000	1	S7-000:enforcing_contract_ats	COVERED	S7-000	1	1	
AT-925	AT	CSP	S13-006,S4-000,S8-012	3	S13-006:enforcing_contract_ats;S4-000:enforcing_contract_ats;S8-012:enforcing_contract_ats	AMBIGUOUS	S4-000	1	1	
AT-926	AT	CSP	S2-000,S6-002,S6-005	3	S2-000:contract_refs|enforcing_contract_ats;S6-002:enforcing_contract_ats;S6-005:enforcing_contract_ats	COVERED	S2-000,S6-002,S6-005	1	1	
AT-927	AT	CSP	S8-013	1	S8-013:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-928	AT	CSP	S2-001	1	S2-001:contract_refs|enforcing_contract_ats	COVERED	S2-001	1	1	
AT-929	AT	CSP	S6-009	1	S6-009:enforcing_contract_ats	COVERED	S6-009	1	1	
AT-930	AT	CSP	S6-005	1	S6-005:enforcing_contract_ats	COVERED	S6-005	1	1	
AT-931	AT	CSP	S13-006,S8-012	2	S13-006:enforcing_contract_ats;S8-012:contract_refs|enforcing_contract_ats	AMBIGUOUS		1	1	
AT-932	AT	CSP	S5-002	1	S5-002:contract_refs|enforcing_contract_ats	COVERED	S5-002	1	1	
AT-933	AT	CSP		0		MISSING		0	0	
AT-934	AT	CSP	S6-007	1	S6-007:enforcing_contract_ats	COVERED	S6-007	1	1	
AT-935	AT	CSP	S4-000,S4-003,S6-000,S6-006	4	S4-000:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats;S4-003:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats;S6-000:contract_refs|enforcing_contract_ats;S6-006:contract_refs|enforcing_contract_ats	COVERED	S4-000,S4-003,S6-000,S6-006	1	1	
AT-936	AT	CSP	S7-000	1	S7-000:enforcing_contract_ats	COVERED	S7-000	1	1	
AT-937	AT	CSP	S7-002	1	S7-002:enforcing_contract_ats	CLAIMED		1	1	
AT-938	AT	CSP	S7-002	1	S7-002:enforcing_contract_ats	CLAIMED		1	1	
AT-939	AT	CSP	S7-002	1	S7-002:enforcing_contract_ats	CLAIMED		1	1	
AT-940	AT	CSP	S4-000	1	S4-000:enforcing_contract_ats	COVERED	S4-000	1	1	
AT-941	AT	CSP	S9-003	1	S9-003:enforcing_contract_ats	CLAIMED		1	1	
AT-942	AT	GOP	S13-006	1	S13-006:contract_refs	CLAIMED		1	1	
AT-946	AT	CSP	S9-005	1	S9-005:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-947	AT	CSP	S9-005	1	S9-005:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-948	AT	CSP	S9-005	1	S9-005:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-949	AT	CSP	S1-012	1	S1-012:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	COVERED	S1-012	1	1	
AT-950	AT	CSP	S1-012	1	S1-012:contract_refs|enforcing_contract_ats	COVERED	S1-012	1	1	
AT-951	AT	CSP	S8-009	1	S8-009:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-952	AT	CSP	S8-009	1	S8-009:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-953	AT	CSP	S7-005	1	S7-005:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-954	AT	CSP	S8-009	1	S8-009:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-955	AT	CSP	S7-005	1	S7-005:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-956	AT	CSP	S7-005	1	S7-005:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-957	AT	CSP	S7-005	1	S7-005:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-958	AT	CSP	S8-009	1	S8-009:enforcing_contract_ats	CLAIMED		1	1	
AT-959	AT	CSP	S8-009	1	S8-009:enforcing_contract_ats	CLAIMED		1	1	
AT-960	AT	CSP	S1-012	1	S1-012:contract_refs|enforcing_contract_ats	COVERED	S1-012	1	1	
AT-961	AT	CSP	S1-012	1	S1-012:contract_refs|enforcing_contract_ats	COVERED	S1-012	1	1	
AT-962	AT	CSP	S1-012	1	S1-012:contract_refs|enforcing_contract_ats	COVERED	S1-012	1	1	
AT-963	AT	CSP	S8-009	1	S8-009:enforcing_contract_ats	CLAIMED		1	1	
AT-965	AT	CSP	S1-012	1	S1-012:contract_refs|enforcing_contract_ats	COVERED	S1-012	1	1	
AT-966	AT	CSP	S1-012	1	S1-012:contract_refs|enforcing_contract_ats	COVERED	S1-012	1	1	
AT-967	AT	GOP	S8-013	1	S8-013:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-968	AT	GOP	S8-014	1	S8-014:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-969	AT	GOP	S4-003	1	S4-003:enforcing_contract_ats	COVERED	S4-003	1	1	
AT-970	AT	GOP	S1-010	1	S1-010:enforcing_contract_ats	COVERED	S1-010	1	1	
AT-971	AT	GOP	S1-010	1	S1-010:enforcing_contract_ats	COVERED	S1-010	1	1	
AT-972	AT	GOP	S13-002	1	S13-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-973	AT	GOP	S13-002	1	S13-002:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-990	AT	CSP	S13-004	1	S13-004:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-991	AT	CSP	S13-006,S8-012	2	S13-006:enforcing_contract_ats;S8-012:contract_refs|enforcing_contract_ats	AMBIGUOUS		1	1	
AT-992	AT	GOP	S13-006,S8-012	2	S13-006:enforcing_contract_ats;S8-012:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	AMBIGUOUS		1	1	
