story_id	passes	has_proof_arrays	has_enforcement_point	ats_any_field	contract_refs_raw	anchors_raw	scope_touch
S8-013	False	1	1	AT-003,AT-023,AT-029,AT-405,AT-412,AT-419,AT-907,AT-927,AT-967	TradingMode|AT-023|AT-003|AT-405|AT-419|AT-927|AT-907|AT-412|AT-029|AT-967	AT-023	crates/soldier_infra/src,crates/soldier_infra/tests
S8-014	False	1	1	AT-024,AT-025,AT-026,AT-027,AT-028,AT-212,AT-342,AT-351,AT-352,AT-353,AT-403,AT-406,AT-407,AT-968	TradingMode|ReduceOnly|Open Permission Latch|AT-024|AT-025|AT-026|AT-027|AT-028|AT-351|AT-406|AT-407|AT-212|AT-342|AT-352|AT-353|AT-403|AT-968	AT-024	crates/soldier_infra/src,crates/soldier_infra/tests,crates/soldier_core/tests
S8-019	False	1	1	AT-1115,AT-1116	AT-1115|AT-1116		crates/soldier_core/src,crates/soldier_core/tests
S8-019	False	1	1	AT-1115,AT-1116	AT-1115|AT-1116		crates/soldier_core/src,crates/soldier_core/tests
S9-000	False	1	1	AT-106,AT-133,AT-238,AT-239	TradingMode|ReduceOnly|Open Permission Latch|AT-106|AT-133	AT-106	crates/soldier_infra/src,crates/soldier_infra/tests
S9-000	False	1	1	AT-106,AT-133,AT-238,AT-239	TradingMode|ReduceOnly|Open Permission Latch|AT-106|AT-133	AT-106	crates/soldier_infra/src,crates/soldier_infra/tests
S9-001	False	1	1	AT-240,AT-305,AT-306,AT-919	TradingMode|ReduceOnly|Open Permission Latch	AT-240	crates/soldier_infra/src,crates/soldier_core/src/recovery,crates/soldier_infra/tests
S9-001	False	1	1	AT-240,AT-305,AT-306,AT-919	TradingMode|ReduceOnly|Open Permission Latch	AT-240	crates/soldier_infra/src,crates/soldier_core/src/recovery,crates/soldier_infra/tests
S9-002	False	1	1	AT-202,AT-271,AT-272,AT-408	TradingMode|ReduceOnly|Open Permission Latch	AT-271	crates/soldier_core/src/recovery,crates/soldier_core/tests
S9-002	False	1	1	AT-202,AT-271,AT-272,AT-408	TradingMode|ReduceOnly|Open Permission Latch	AT-271	crates/soldier_core/src/recovery,crates/soldier_core/tests
S9-003	False	1	1	AT-010,AT-011,AT-110,AT-120,AT-402,AT-409,AT-411,AT-430,AT-917,AT-941	TradingMode|ReduceOnly|Open Permission Latch|AT-010|AT-011|AT-110|AT-120|AT-917	AT-010	crates/soldier_core/src/risk,crates/soldier_core/tests
S9-003	False	1	1	AT-010,AT-011,AT-110,AT-120,AT-402,AT-409,AT-411,AT-430,AT-917,AT-941	TradingMode|ReduceOnly|Open Permission Latch|AT-010|AT-011|AT-110|AT-120|AT-917	AT-010	crates/soldier_core/src/risk,crates/soldier_core/tests
S9-004	False	1	1	AT-121,AT-122,AT-123,AT-124,AT-303	TradingMode|ReduceOnly|Open Permission Latch|AT-121|AT-122|AT-123|AT-124	AT-121	crates/soldier_core/src/recovery,crates/soldier_core/tests
S9-004	False	1	1	AT-121,AT-122,AT-123,AT-124,AT-303	TradingMode|ReduceOnly|Open Permission Latch|AT-121|AT-122|AT-123|AT-124	AT-121	crates/soldier_core/src/recovery,crates/soldier_core/tests
S9-005	False	1	1	AT-946,AT-947,AT-948	TradingMode|ReduceOnly|Open Permission Latch|AT-946|AT-947|AT-948	AT-946	crates/soldier_core/src/recovery,crates/soldier_core/tests
S9-005	False	1	1	AT-946,AT-947,AT-948	TradingMode|ReduceOnly|Open Permission Latch|AT-946|AT-947|AT-948	AT-946	crates/soldier_core/src/recovery,crates/soldier_core/tests
S9-009	False	1	1	AT-1095,AT-1096	AT-1095|AT-1096		crates/soldier_infra/src,crates/soldier_core/tests
S9-009	False	1	1	AT-1095,AT-1096	AT-1095|AT-1096		crates/soldier_infra/src,crates/soldier_core/tests
S9-010	False	1	1	AT-1098,AT-1100	AT-1098|AT-1100		crates/soldier_core/src,crates/soldier_core/tests
S9-010	False	1	1	AT-1098,AT-1100	AT-1098|AT-1100		crates/soldier_core/src,crates/soldier_core/tests
S9-011	False	1	1	AT-1101,AT-1102	AT-1101|AT-1102		crates/soldier_core/src,crates/soldier_core/tests
S9-011	False	1	1	AT-1101,AT-1102	AT-1101|AT-1102		crates/soldier_core/src,crates/soldier_core/tests
S9-012	False	1	1	AT-1103,AT-1112,AT-1113	AT-1103|AT-1112|AT-1113		crates/soldier_core/src,crates/soldier_core/tests
S9-012	False	1	1	AT-1103,AT-1112,AT-1113	AT-1103|AT-1112|AT-1113		crates/soldier_core/src,crates/soldier_core/tests
S9-013	False	1	1	AT-1117	AT-1117		crates/soldier_core/src,crates/soldier_core/tests
S9-013	False	1	1	AT-1117	AT-1117		crates/soldier_core/src,crates/soldier_core/tests
